config_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_mean,mae_mean,r2_mean,bias_mean,combo_score
9,1200,4,2,0.7,30.0,False,1346.7241133251478,768.2415729382911,0.9808611755376863,-92.99497763964305,2307.704689876962,1302.637254025009,0.9436565154004497,-150.8100472823971,1805.1709719509856
25,1000,4,2,0.7,,False,1343.730609013552,765.1917058240042,0.980945972074597,-92.70463291112611,2307.300026368817,1302.8155752898624,0.9436818924877226,-150.29929581295482,1805.0578008293396
15,800,2,2,0.7,,False,1343.832848948395,765.2480143071177,0.9809430380264386,-92.70323772794713,2307.4118187668146,1303.0846508115037,0.9436770755130219,-150.36856298646714,1805.2482347891591
1,1200,4,1,0.5,30.0,False,928.0507038532812,530.3706503153221,0.9909115429479564,-58.873857775034224,2290.8585836358243,1305.7879742638236,0.944490670199621,-140.86822336770246,1798.3232789498238
18,1000,4,1,0.5,30.0,False,928.1641517005955,530.5522252890948,0.9909093612001827,-58.89482133089202,2291.4390091692308,1306.0321751394495,0.9444614394915088,-140.8649148969228,1798.73559215434
3,1000,4,1,0.5,,False,903.82322582341,508.31665173801,0.9913793686566401,-56.43244503969296,2295.809587151084,1311.732093348135,0.9442560448917741,-139.8338094504908,1803.7708402496096
17,1200,2,2,0.7,20.0,False,1549.9197419484403,925.509367565907,0.9746544402073729,-114.77973799180364,2326.675225059147,1323.607244020355,0.942729754603315,-166.14040917358773,1825.1412345397512
14,1200,2,2,0.5,30.0,False,1518.6639214647898,873.796709561128,0.975666723345384,-121.66146356036546,2368.8519552550188,1326.6168296198284,0.9406503566305394,-176.8744555642837,1847.7343924374236
4,1200,4,2,0.5,30.0,False,1518.6639214647898,873.7967095611278,0.975666723345384,-121.6614635603654,2368.851955255019,1326.6168296198284,0.9406503566305395,-176.87445556428395,1847.7343924374238
12,1000,2,2,0.5,30.0,False,1518.963536774713,874.0374337754513,0.9756570855293889,-121.69334781980801,2368.604835834778,1326.6950913874407,0.9406621052162893,-176.87443332048278,1847.6499636111093
10,1200,4,2,0.5,,False,1515.158278087454,869.7330321679337,0.9757792251719364,-121.37875604690942,2368.883370172134,1326.8342283839697,0.9406482269741743,-177.10574484546606,1847.858799278052
2,1000,4,2,0.5,,False,1515.8223793467293,870.0967762400406,0.9757579868830579,-121.46087238366079,2368.8447203117157,1326.9503852646994,0.9406516528751804,-177.01275479555477,1847.8975527882076
11,800,4,2,0.5,30.0,False,1519.8158914621226,874.5221491925449,0.975629681420261,-121.77601867181264,2369.5370418859566,1327.000237569364,0.9406159674816627,-176.85182714811225,1848.2686397276602
22,800,2,1,0.5,20.0,False,1193.5210461902113,718.6024292297798,0.9849703366066662,-87.48087628534905,2297.842783159668,1332.8642123830805,0.9441450299925375,-168.46508714061298,1815.3534977713744
21,800,2,1,0.7,,False,208.22193956984336,23.062225210017814,0.9995423079658345,-0.9444934783216744,2307.7262487156167,1345.5007444418736,0.9436504926395313,-109.8247357018555,1826.613496578745
13,800,2,1,0.5,,False,208.22194433546656,23.062842141078065,0.9995423079439307,-0.944541656552099,2339.5566860819267,1356.3083905702763,0.9421164866802414,-119.7974592565703,1847.9325383261016
20,800,2,2,0.5,20.0,False,1718.3849043355694,1029.3038429960448,0.9688483694475444,-148.89371656714857,2405.6226468715818,1363.824670179823,0.9388055594905292,-198.17914843161017,1884.7236585257024
8,800,4,2,0.5,20.0,False,1718.3849043355694,1029.3038429960448,0.9688483694475444,-148.89371656714843,2405.6226468715813,1363.8246701798232,0.9388055594905292,-198.17914843161014,1884.7236585257024
24,1200,2,1,sqrt,,False,208.22226180141405,23.08149961692211,0.9995423065554738,-0.9498872261692708,2438.3875779693367,1390.1812444280174,0.9371517749150905,-148.0669787943972,1914.284411198677
5,1200,2,1,sqrt,20.0,False,1547.5597296991004,973.9078045458157,0.9747351136507283,-185.60083816646107,2503.0304885705723,1453.234829185813,0.9337930286162293,-268.6622069388417,1978.1326588781926
23,1000,4,1,sqrt,20.0,False,1779.5624300144536,1113.128288765851,0.9665936104764596,-216.28063184513883,2540.707875418526,1463.9521472199235,0.9317882790552763,-279.174318621039,2002.3300113192247
7,800,2,2,sqrt,,False,2226.694308340968,1262.9149064550052,0.9476995463936273,-320.2805770922317,2752.0175109040183,1519.8102214053097,0.9199594634280673,-358.4608698438791,2135.913866154664
19,1000,4,2,sqrt,30.0,False,2230.253886043574,1270.9278181843079,0.9475311944247333,-322.2076096900179,2748.9849987332327,1522.06570293111,0.9201453410380102,-360.2100692883374,2135.525350832171
6,1000,2,2,sqrt,20.0,False,2416.533015707594,1431.6724632996952,0.9384017560290481,-366.1872668535036,2837.4094269805946,1611.7347337927868,0.9149478970553395,-399.2461695215528,2224.5720803866907
16,800,4,2,sqrt,20.0,False,2418.0435535222787,1431.6366142856739,0.9383248980150978,-365.70265144759225,2840.5447812999873,1612.1433426217795,0.914757888428062,-398.8990995428345,2226.3440619608837
