variant,config_id,l1_ratio,alpha,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_val_mean,mae_val_mean,r2_val_mean,bias_val_mean,avg_features_total,avg_features_selected,combo_score
v3_noOwners_age_logPrice,5,0.2,0.0017190722018585747,3537.08679608293,2106.5284202748007,0.8680330436476981,-232.932450083743,3559.711437324516,2111.398107277325,0.8663126880000468,-236.3174004983889,15.0,15.0,2835.5547723009204
v3_noOwners_age_logPrice,10,0.4,0.00022539339047347913,3539.268817991399,2108.5918902635767,0.8678700558639231,-217.6924444614016,3562.172834292603,2113.527174706509,0.866128211937726,-221.16507837514212,15.0,15.0,2837.8500044995562
v3_noOwners_age_logPrice,2,0.5,0.00022539339047347913,3539.578197251105,2108.642284058536,0.8678469499952167,-218.06225231215274,3562.4987651656984,2113.5706482960627,0.8661037532747613,-221.5349566679522,15.0,15.0,2838.0347067308803
v3_noOwners_age_logPrice,6,0.6,0.00015013107289081726,3539.600049194397,2108.7513396666654,0.8678453139510841,-217.10546293498197,3562.528261842396,2113.6964366634134,0.8661015231920252,-220.58259757473616,15.0,15.0,2838.112349252905
v3_noOwners_age_logPrice,8,0.3,0.002580861540418077,3540.882702305416,2106.9314549972346,0.8677496894727992,-245.87595322462403,3563.486229997184,2111.8296355939865,0.8660283177099359,-249.2292488822215,15.0,15.0,2837.657932795585
v3_noOwners_age_logPrice,11,0.5,0.0011450475699382812,3542.371220568157,2108.096585194692,0.8676383265214216,-232.23029185079878,3565.2236759699817,2112.9849256543325,0.8658982997923774,-235.6557305766608,15.0,15.0,2839.104300812157
v3_noOwners_age_logPrice,9,0.4,0.002580861540418077,3545.060632363,2108.2401755837973,0.8674373926828289,-249.77786561353543,3567.7942360352235,2113.142230565247,0.8657039805325522,-253.14213441323352,15.0,15.0,2840.468233300235
v3_noOwners_age_logPrice,3,0.4,0.005817091329374358,3564.982542637669,2118.728973919149,0.8659436801281376,-290.5953668356525,3587.1954752055963,2123.6725772958575,0.8642379656329897,-293.8608303033567,15.0,15.0,2855.4340262507267
v3_noOwners_age_logPrice,4,0.3,0.013111339374215644,3591.8438103457056,2137.2056247833107,0.8639165288989821,-355.3482843528299,3612.392466641056,2142.0576802845208,0.862321940554617,-358.34968834107815,15.0,15.0,2877.2250734627887
v3_noOwners_age_logPrice,12,0.8,0.003874675120456132,3590.084285879653,2131.5905174747318,0.8640488655954756,-287.13509900006125,3613.2450587125286,2136.658830262837,0.862259782439035,-290.5072396905314,15.0,15.0,2874.951944487683
v3_noOwners_age_logPrice,13,0.8,0.008733261623828438,3629.465259831551,2150.8180537390544,0.8610502562504256,-368.44509001918675,3652.068982068249,2155.8835825381393,0.85928298876934,-371.71960938552354,15.0,15.0,2903.9762823031942
v3_noOwners_age_logPrice,15,0.6,0.013111339374215644,3637.872982831974,2157.9382915738097,0.8604062001709669,-406.8251639344597,3659.2990738244252,2162.906675783667,0.8587239233594374,-409.90954631606144,15.0,15.0,2911.102874804046
v3_noOwners_age_logPrice,1,0.7,0.02955209235202888,3885.2017435325733,2321.0590449088704,0.8407811855287908,-646.1091233641171,3902.835835668402,2325.1178964308265,0.8392890406469997,-648.5714080958334,15.0,15.0,3113.9768660496143
v3_noOwners_age_logPrice,7,0.6,0.06660846290809161,4537.177103396885,2791.176500753098,0.7828618434312196,-976.0619006774491,4546.62513881592,2793.6970762122364,0.7818956290489959,-977.5095125974029,15.0,15.0,3670.161107514078
v3_noOwners_age_logPrice,14,0.7,0.06660846290809161,4699.878604842877,2912.2086949833692,0.7670095584221757,-1042.2550731694982,4708.4220459106455,2914.5479728322734,0.7660965058108584,-1043.5741004058923,15.0,15.0,3811.4850093714595
