config,val_mae_mean,train_mae_mean,avg_selected_features,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization,max_bins,random_state
R2_iter1000_lr0.106_l21.24_leaf127,1275.682640183647,1053.4765030645876,10.0,30,127,1000,,0.10578947368421052,1.236842105263158,255,42
R7_iter800_lr0.080_l21.34_leaf127,1279.6882768806386,1076.5400685102593,10.0,20,127,800,25.0,0.08,1.3421052631578947,255,42
R0_iter800_lr0.150_l22.29_leaf127,1282.810135277508,1063.3821554730298,10.0,40,127,800,25.0,0.15,2.289473684210526,255,42
R13_iter1500_lr0.146_l22.18_leaf127,1290.2378312921178,1072.2550594800764,10.0,20,127,1500,,0.1463157894736842,2.1842105263157894,255,42
R8_iter1500_lr0.080_l21.87_leaf63,1292.1027479735128,1120.5138160679157,10.0,20,63,1500,10.0,0.08,1.8684210526315788,255,42
R1_iter1000_lr0.146_l21.24_leaf63,1292.4316707047644,1101.336755949133,10.0,20,63,1000,20.0,0.1463157894736842,1.236842105263158,255,42
R3_iter800_lr0.080_l22.50_leaf63,1296.492349122941,1133.9078467741908,10.0,40,63,800,15.0,0.08,2.5,255,42
R6_iter600_lr0.098_l22.29_leaf63,1297.328942520829,1142.04139185146,10.0,40,63,600,,0.09842105263157895,2.289473684210526,255,42
R4_iter1500_lr0.128_l21.34_leaf63,1297.4968479843208,1130.6698578825878,10.0,30,63,1500,,0.12789473684210526,1.3421052631578947,255,42
R9_iter800_lr0.150_l21.76_leaf31,1314.2897876620088,1169.6701504165767,10.0,20,31,800,,0.15,1.763157894736842,255,42
R10_iter600_lr0.117_l21.03_leaf31,1315.0297933263607,1175.6455058405822,10.0,20,31,600,20.0,0.11684210526315789,1.026315789473684,255,42
R5_iter1500_lr0.113_l21.55_leaf31,1315.5647312321873,1184.2869608925698,10.0,20,31,1500,,0.1131578947368421,1.5526315789473684,255,42
R14_iter1000_lr0.128_l22.50_leaf31,1322.9670762481935,1196.4415816958056,10.0,40,31,1000,25.0,0.12789473684210526,2.5,255,42
R12_iter800_lr0.095_l22.39_leaf31,1328.5725604426761,1211.5212422551936,10.0,30,31,800,10.0,0.09473684210526316,2.394736842105263,255,42
R11_iter1000_lr0.150_l21.24_leaf31,1331.1952570323533,1207.7627501823772,10.0,30,31,1000,10.0,0.15,1.236842105263158,255,42
