config,val_rmse_mean,train_rmse_mean,val_mae_mean,train_mae_mean,val_r2_mean,train_r2_mean,val_bias_mean,train_bias_mean,avg_selected_features,avg_total_features,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization,max_bins,random_state
R6_iter1000_lr0.121_l22.39_leaf127,2138.9464625170604,1656.389979648584,1254.9630789671219,1000.7319188113928,0.9515831936567529,0.97101373147144,103.2139627486727,82.26540821799443,17.0,25.0,20,127,1000,25.0,0.12052631578947368,2.394736842105263,255,42
R7_iter800_lr0.087_l21.24_leaf127,2146.2932464547907,1682.1274248633063,1255.6291976911093,1019.793926724211,0.9512057149708882,0.9701045572637521,102.68759856662237,83.74394013702428,17.0,25.0,20,127,800,15.0,0.08736842105263158,1.236842105263158,255,42
R8_iter1000_lr0.121_l21.66_leaf63,2157.920750585206,1806.6627598441091,1277.7290127584447,1101.8124858714418,0.9507235738159794,0.9655121978769352,101.91748987037988,89.62235928969179,17.0,25.0,30,63,1000,10.0,0.12052631578947368,1.6578947368421053,255,42
R9_iter600_lr0.098_l22.29_leaf127,2160.8654642554843,1753.9365854009552,1263.816193941987,1053.0959151677578,0.9505827214330766,0.9675264253682981,104.62173891167207,86.50059842416584,17.0,25.0,40,127,600,25.0,0.09842105263157895,2.289473684210526,255,42
R11_iter1500_lr0.087_l21.13_leaf63,2163.110780400917,1803.5257558343628,1275.2620673187193,1102.3792037892645,0.9505304975426704,0.9656500073607531,106.01197890700956,93.02038534179619,17.0,25.0,20,63,1500,15.0,0.08736842105263158,1.131578947368421,255,42
R1_iter600_lr0.128_l20.61_leaf127,2164.811903802391,1761.1535515853154,1268.102162326637,1056.4433701669927,0.9503764212948453,0.9672633356827341,101.88955483114322,86.12433646534078,17.0,25.0,40,127,600,25.0,0.12789473684210526,0.6052631578947368,255,42
R5_iter1000_lr0.132_l22.29_leaf127,2164.863202631358,1728.9507559750464,1265.2725843478859,1042.0264960221868,0.9503863188293292,0.9684324062477758,103.2675363027871,85.00459395462289,17.0,25.0,30,127,1000,,0.13157894736842105,2.289473684210526,255,42
R13_iter1000_lr0.128_l22.39_leaf127,2165.1565444183657,1723.9952643242732,1266.7200023501043,1037.3053676762781,0.9503713010275106,0.9686145238732872,101.99949550869289,83.79512105670435,17.0,25.0,40,127,1000,25.0,0.12789473684210526,2.394736842105263,255,42
R3_iter1000_lr0.098_l21.87_leaf127,2171.266005549304,1738.4822082197702,1264.670716310217,1048.3356793270177,0.9500897996889053,0.9680767142389339,103.94227061468555,86.58947844663552,17.0,25.0,30,127,1000,,0.09842105263157895,1.8684210526315788,255,42
R12_iter1500_lr0.095_l21.34_leaf63,2175.593818232439,1839.2979764571905,1275.41866827224,1112.401615068283,0.94989359042479,0.9642686789928447,106.99013145566053,93.00524159479953,17.0,25.0,40,63,1500,20.0,0.09473684210526316,1.3421052631578947,255,42
R4_iter1000_lr0.087_l21.76_leaf31,2183.811526338256,1898.850305613426,1294.705046495159,1164.1851760900072,0.9495822402294025,0.9619043883247231,111.87470437980704,100.23843402131942,17.0,25.0,20,31,1000,,0.08736842105263158,1.763157894736842,255,42
R10_iter1000_lr0.106_l21.55_leaf63,2184.3955861606537,1807.2251071131645,1278.6693022894322,1096.548177710695,0.9494882893438826,0.9655068053876357,106.77866161033002,91.28086271102178,17.0,25.0,30,63,1000,25.0,0.10578947368421052,1.5526315789473684,255,42
R2_iter600_lr0.102_l22.29_leaf31,2198.127492589587,1928.8652739633935,1305.9839736891313,1182.3170256417466,0.9489459288272915,0.9607201781423453,112.53376573378874,101.90681431196452,17.0,25.0,20,31,600,25.0,0.10210526315789473,2.289473684210526,255,42
R14_iter1500_lr0.084_l20.82_leaf31,2202.8779842384747,1909.105423971003,1303.9035689991094,1173.5160214654861,0.948636545970775,0.9614855583513717,114.21097752850308,101.47240158631836,17.0,25.0,20,31,1500,,0.08368421052631579,0.8157894736842105,255,42
R0_iter600_lr0.106_l21.24_leaf31,2216.699648816853,1964.3253207420034,1308.6729437397964,1193.4923782150036,0.9479940933220199,0.9592911492899642,111.37628713428407,102.44072022217294,17.0,25.0,40,31,600,15.0,0.10578947368421052,1.236842105263158,255,42
